"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","initial-clouds*","night*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","160","1.8","0.1","56","0.7000000000000001","""-2143540662""","2.6111899557325646","2.66695202701721","2.631214508850212","0.015843354288150584","2.6111899557325646"
"1","2","160","1.8","0.1","56","0.7000000000000001","""-2016828905""","2.764915449650113","2.8000310338725125","2.7953992953737257","0.00960589866324055","2.764915449650113"
"1","3","160","1.8","0.1","56","0.7000000000000001","""1145731761""","2.800000036177652","2.8000002164589173","2.800000100917927","5.122227122553182E-8","2.800000036177652"
"1","4","160","1.8","0.1","56","0.7000000000000001","""-1474136509""","2.4114109365433904","2.4682742050100277","2.431830937336417","0.016156231064308517","2.4114109365433904"
"1","5","160","1.8","0.1","56","0.7000000000000001","""-2140286385""","2.401381249861286","2.4082643292106383","2.403853012205633","0.001955649462313841","2.401381249861286"
"1","6","160","1.8","0.1","56","0.7000000000000001","""2144702797""","2.6148734219445693","2.688991035502612","2.6414895797639204","0.021058608181860474","2.6148734219445693"
"1","7","160","1.8","0.1","56","0.7000000000000001","""-825266430""","2.464345036474242","2.5005018506010135","2.495419142174059","0.009940243581443842","2.464345036474242"
"1","8","160","1.8","0.1","56","0.7000000000000001","""1348968607""","2.570031018868745","2.6064984425919207","2.5995350468781044","0.008865699046871903","2.570031018868745"
"1","9","160","1.8","0.1","56","0.7000000000000001","""-667649649""","2.3116402197965833","2.3696460583877705","2.3324705255804803","0.016480862894964508","2.3116402197965833"
"1","10","160","1.8","0.1","56","0.7000000000000001","""801686445""","2.6003073988524577","2.60183923661266","2.6008574925970076","4.352321889721082E-4","2.6003073988524577"
"1","11","160","3.8000000000000003","0.25","28","0.2","""1954919922""","6.928998155820302","8.126709039100284","7.499489813593111","0.3187285672433557","8.126709039100284"
"1","12","160","3.8000000000000003","0.25","28","0.2","""-755872719""","3.1578030220564237","5.1548774918502325","3.7765082056627715","0.5015697528560606","5.1548774918502325"
"1","13","160","3.8000000000000003","0.25","28","0.2","""-1860574575""","7.584993423846985","8.255256953105583","8.094214830954604","0.18153079019806057","8.255256953105583"
"1","14","160","3.8000000000000003","0.25","28","0.2","""-1688319679""","6.5565797121695155","7.652970061591503","7.253473768516471","0.2718324390882832","7.652970061591503"
"1","15","160","3.8000000000000003","0.25","28","0.2","""-600139211""","6.453658377847901","8.56536845391604","7.2972742397642945","0.6298307781737493","8.56536845391604"
"1","16","160","3.8000000000000003","0.25","28","0.2","""-558265495""","5.006707693367808","6.618363569895301","5.709504751392737","0.4729962175560117","6.618363569895301"
"1","17","160","3.8000000000000003","0.25","28","0.2","""222353127""","8.1600133528929","8.84333731247986","8.566214134128732","0.2252140102333057","8.242270353955696"
"1","18","160","3.8000000000000003","0.25","28","0.2","""-1754518576""","5.538680969147265","7.422067142821753","6.4223036529756845","0.43335000559184006","7.422067142821753"
"1","19","160","3.8000000000000003","0.25","28","0.2","""-430329184""","3.115980709244507","4.648292607473014","3.844920882640134","0.4034511459189087","4.648292607473014"
"1","20","160","3.8000000000000003","0.25","28","0.2","""800451968""","5.426942726328665","7.430994870030219","6.299636284968358","0.5238210135898448","7.430994870030219"
"1","21","160","4.2","0.35000000000000003","31","0.4","""-878930526""","6.937055619751735","7.509318742031525","7.07781188988045","0.12878393100714744","7.509318742031525"
"1","22","160","4.2","0.35000000000000003","31","0.4","""1271392439""","0.12158913211106359","1.1229655077064749","0.4422989636438957","0.2518971065391677","1.1229655077064749"
"1","23","160","4.2","0.35000000000000003","31","0.4","""2034716640""","2.4072268366918017","3.3212724657349","2.8251161826223057","0.25774174944449046","3.3212724657349"
"1","24","160","4.2","0.35000000000000003","31","0.4","""109060927""","1.5353231418470727","2.2177221109259264","1.9035594016797441","0.21002004027848162","2.2177221109259264"
"1","25","160","4.2","0.35000000000000003","31","0.4","""-1993801506""","0.9606106686913272","1.7685227062716002","1.435591417683164","0.2217666078526791","1.7685227062716002"
"1","26","160","4.2","0.35000000000000003","31","0.4","""462741790""","5.930939085902793","6.3138796414953795","6.197949922993541","0.09427395546417616","6.154847335712855"
"1","27","160","4.2","0.35000000000000003","31","0.4","""-680341346""","2.576004451849137","3.817737726349037","3.234942647009352","0.2739678411305667","3.817737726349037"
"1","28","160","4.2","0.35000000000000003","31","0.4","""160697754""","3.2792137699015527","4.3355619917332255","3.818107910330247","0.3202295468116416","4.3355619917332255"
"1","29","160","4.2","0.35000000000000003","31","0.4","""-332833055""","1.6431272212062993","2.5974135116167965","2.1299966141241486","0.26627897067791245","2.5974135116167965"
"1","30","160","4.2","0.35000000000000003","31","0.4","""-1485548841""","6.024840928496342","6.878607076006485","6.330646218175445","0.20829598194658175","6.878607076006485"
"1","31","160","3.4000000000000004","0.8500000000000001","96","0.8","""1934981662""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","32","160","3.4000000000000004","0.8500000000000001","96","0.8","""291554415""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","33","160","3.4000000000000004","0.8500000000000001","96","0.8","""-821924626""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","34","160","3.4000000000000004","0.8500000000000001","96","0.8","""618155435""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","35","160","3.4000000000000004","0.8500000000000001","96","0.8","""1695846621""","2.9000134405675233","2.9000440012126116","2.9000257941602725","8.839101093709417E-6","2.9000134405675233"
