"search-number","evaluation","sun-brightness*","albedo*","initial-clouds*","night*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","1.8","0.1","56","0.7000000000000001","2.5732069641677486","10","2.5732069641677486","2.617599068707864"
"1","20","3.8000000000000003","0.25","28","0.2","6.476354056459689","10","2.5732069641677486","2.617599068707864"
"1","30","4.2","0.35000000000000003","31","0.4","3.539602116814229","10","2.5732069641677486","2.617599068707864"
"1","40","3.4000000000000004","0.8500000000000001","96","0.8","2.9331681539585457","10","2.5732069641677486","2.617599068707864"
"1","50","3.4000000000000004","0.6000000000000001","90","0.7000000000000001","2.7626153322779627","10","2.5732069641677486","2.617599068707864"
"1","60","0.8","0.35000000000000003","56","0","2.355813983300508","10","2.355813983300508","2.5442416574764843"
"1","70","5","0.25","68","0.6000000000000001","1.95133192694449","10","1.95133192694449","1.9947808406266205"
"1","80","0","0.55","45","0.5","3.0000000000000004","10","1.95133192694449","1.9947808406266205"
"1","90","0.4","1","50","0.7000000000000001","3.0000000000000004","10","1.95133192694449","1.9947808406266205"
"1","100","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","2.4669018052115104","10","1.95133192694449","1.9947808406266205"
"1","110","1","0.1","14","0.2","4.444160597051258","10","1.95133192694449","1.9947808406266205"
"1","120","3.6","0.55","66","0.6000000000000001","2.2982624939026532","10","1.95133192694449","1.9947808406266205"
"1","130","0.2","0.1","12","0.2","1.440748985837257","10","1.440748985837257","1.3667610738642746"
"1","140","2.4000000000000004","0.55","86","0.9","2.980000029695652","10","1.440748985837257","1.3667610738642746"
"1","150","1.2000000000000002","0.5","38","0.5","1.7918588301967155","10","1.440748985837257","1.3667610738642746"
"1","160","4.4","0.2","30","0","8.035901821749798","10","1.440748985837257","1.3667610738642746"
"1","170","4.2","0.7000000000000001","67","0.8","2.7478139598771554","10","1.440748985837257","1.3667610738642746"
"1","180","0.4","0.2","13","0.9","2.533136070337018","10","1.440748985837257","1.3667610738642746"
"1","190","3.2","0.8500000000000001","4","0.8","0.620692022727571","10","0.620692022727571","0.5168774174875727"
"1","200","1","0.4","94","0.2","2.9410690601224463","10","0.620692022727571","0.5168774174875727"
"1","210","4.2","0.25","51","0.6000000000000001","1.2759691486404168","10","0.620692022727571","0.5168774174875727"
"1","220","4","0.55","62","0.5","1.8125907629229492","10","0.620692022727571","0.5168774174875727"
"1","230","1.6","0.55","51","0.8","2.6795506432039278","10","0.620692022727571","0.5168774174875727"
"1","240","3.6","0.7000000000000001","38","0.1","2.2316915482223436","10","0.620692022727571","0.5168774174875727"
"1","250","0.6000000000000001","0.75","6","0.6000000000000001","0.6819442037444585","10","0.620692022727571","0.5168774174875727"
"1","260","1.4000000000000001","0.9","29","0.4","1.5300378604692955","10","0.620692022727571","0.5168774174875727"
"1","270","4.800000000000001","0.55","51","0.6000000000000001","1.0589973173519858","10","0.620692022727571","0.5168774174875727"
"1","280","5","0.65","32","0.4","4.148829254391506","10","0.620692022727571","0.5168774174875727"
"1","290","1.8","0.4","4","0.7000000000000001","5.8154666446953645","10","0.620692022727571","0.5168774174875727"
"1","300","0","0.55","92","0.6000000000000001","3.0000000000000004","10","0.620692022727571","0.5168774174875727"
