"search-number","evaluation","sun-brightness*","albedo*","initial-clouds*","night*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","1.8","0.1","56","0.7000000000000001","10","2.5732069641677486","10","2.617599068707864"
"1","60","0.8","0.35000000000000003","56","0","10","2.355813983300508","10","2.5442416574764843"
"1","70","5","0.25","68","0.6000000000000001","10","1.95133192694449","10","1.9947808406266205"
"1","130","0.2","0.1","12","0.2","10","1.440748985837257","10","1.3667610738642746"
"1","190","3.2","0.8500000000000001","4","0.8","10","0.620692022727571","10","0.5168774174875727"
